Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,CV_Mean_R2,CV_Std_R2,R2_Gap,RMSE_Gap
OLS Baseline,0.6459249343810687,0.7217068723643576,3611.301211702842,3493.049109417285,2420.8747617383933,2455.5954674601962,0.6803924098797023,0.06021337711124052,-0.07578193798328892,-118.25210228555716
Ridge Regression,0.6452922807866514,0.7193522052829482,3614.526068887633,3507.7955082255667,2423.822686620832,2464.597384348927,0.6802825954856472,0.06010798589091383,-0.07405992449629684,-106.73056066206618
ElasticNet,0.6160750601855474,0.652552617550545,3760.4446777419985,3902.9948008264355,2516.7289210033587,2695.062090287524,0.6651289135556722,0.06085134119652113,-0.03647755736499769,142.55012308443702
Lasso Regression,0.577444692052864,0.5946010514105581,3945.0982382357997,4215.943282735311,2599.3742801806557,2841.998685597453,0.6394353620367509,0.06619079085418969,-0.017156359357694106,270.84504449951146
